label,text
negative,какого хера рассинхронизируется звук и видео в премьере? ):
neutral,думаю ты её слышала
neutral,"Вода в море еще прохладная, но в кофте и куртке этого почти не чувствуется)"
neutral,"ГАИ Одессы операция ""заказ"" ч.3 продолжение экшена (милиция убивает)"
neutral,"Посмотрел я ""Левиафан"". 

Впечатление неоднозначное.

Коротко о фильме: Не пытайся идти против власти. 

Коррупция, беззаконие и все это на фоне разрухи. Другие фильмы у нас снимать не умеют. Но скажу честно, концовка удивила. 

Зато вон какая реклама была, чуть ли не все СМИ про него писали. Не понимаю, что там можно на Оскар номинировать. 

5 из 10, не больше.

Ну и вот вам фото из Териберки."
positive,Голландия! фак еах
negative,Я не буду менятся из-за вашего мнения... Меня воспитывали не под вкус окружающих!!!
neutral,"Это не лечится, мои заебы остается только терпеть))))))))))))))))))))"
neutral,"Марк Цукерберг круче, чем Павел Дуров на "
negative,был очень неудачный день!!!!!!(((
negative,не навижу людей которие постоянно врут. при етом смотят мне вглаза. какби не чего нет!!!!!!!!!!!
neutral,А ведь его явно недооценили...
neutral,"Если верить Федорову, то сейчас идет глобальная чистка пятой колонны. Скоро полетят многие в российском массмедиа."
neutral,Aлло это пакистан!
neutral,"Если в жизни стало туго,посмотри на рожу друга,посмотри на это рыло-вспомни всё,что с вами было!"
neutral,"ребят, бросьте хоть что-то на стенку"
neutral,Когда то давно у меня была собака...
negative,Жизнь боль😭😭😭
neutral,"По субботам мы валяемся в постели целый день, по воскресеньям я пишу хуевые тексты."
neutral,История моей поездки с Питера до Сочи=))))))))))))))))
positive,"ахха))Артем)))))))))))не могу)))))))))))))))))
отлично все..тьфу-тьфу))Погода наконец-то..замечательная..настроение солнечное..))Только бы не курсовая..и еще пару работ..которые сделать надо..скоро(((((( вообще сейчас не до учебы..)))))) Ты как??))"
neutral,"хо-хо, у меня теперь есть отчим."
neutral,Ваня-Попс!
neutral,"ух укатался!
чем там колено лечат?"
negative,я устаю очень
negative,"Если тебе кажется, что тебе не хватает тепла и ласки, и что тебе хотелось бы завести отношения с кем-нибудь, ударь себя по ебалу и одумайся."
neutral,Этот ролик вызывает почему-то неадекватнейшую реакцию свидомитов... К чему бы это? 
positive,ахаха...Чем то он на тебя похож)
positive,"моя тварь,я люблю тебя,в январе,максимум феврале,я приеду и трахну тебя*"
negative,"Укры обезумели. Держись, Краматорск!"
neutral,Мне за выступление граммату обищали
negative,"Я хочу увидеть сиреневое солнце, а его вообще не видно...... Вывод - врут, все врут.))))))))"
neutral,столько хватит??
neutral,Почему же почему же ты так далеко!!!!
neutral,я смотрю по фоткам ты все планету уже объездил)))))
neutral,Дуралей в снегу
negative,"Настал великий ОБЛОМ, зима вернулась.
А ведь еще позавчера я в мастерке на улицу выходила."
negative,Какие-то вы хуёвые... все!
neutral,Какая картинка лутче!!!
neutral,"Слава Богу наступил мир...политики вместе с Западными  дипломатами подписали договоренности , которые уже как минимум остановили кровопролитие. Наши девченки взяли Золото....и вроде все хорошо , однако нам предстоит еще очень многое пережить и решить нелегких проблем."
positive,Сегодня решила себя побаловать и сделала причесочку😊 красота😍  
positive,пооочему же они такие невероятные?!
neutral,"настюха, я тебе парня нашел, подойдет?"
neutral,Ушёл в себя....
positive,"Скучали, Джимушка!!!"
neutral,"- у тебя ребенок, у меня кот
- даа, мы уже взрослые!
Прыгаем на батуте"
positive,ЛУЧШИЙ ФИЛЬМ В ИСТОРИИ КИНО АНОНИМ
neutral,Небольшой шаг вперед =)
negative,как же плохо что такой 'ансамбль' распался...
neutral,Кто нибудь заметил что закрыли хороший треккер Рутор.орг? И что вы по этому поводу думаете?
positive,"Как же я хочу снег, большой капучино, уютную кафешку, хочу что бы люди перестали жаловаться и переживать, хочу сходить в кино на нон-стоп, хочу жить не задумываясь, радоваться, хочу что бы темы разговоров были совсем другими. Надоели мне ""взрослые"" эти проблемы. херня это всё какая-то.
P.S.  а да и фиг с ним,пусть побудет пока здесь"
positive,"Интересно, почему, когда я пишу всякую хрень по работе, я хомячу без остановок. А когда я читаю интересные книжки, я могу вообще не есть. Только дети приходят и требуют обедов и ужинов. Отличный день. Разгрузочный."
neutral,"Если любишь не теряй, вернуть потом сложно! Ну или совсем не возможно..."
negative,ну лима как всегда самая ужасная
neutral,Сейчас без парня быть не модно! ПОШЛО ВСЁ НА..... ВЕДЬ Я СВОБОДНА!!!
neutral,#снежочек #капюшончик #экзистенция
negative,Недолго длилось мое счастье..)
positive,"..Ребятушки вы мои дорогие, каzантипщики великие!!.
..Вот оно, началось!! )))).."
negative,"МдА, Должен быть во Львове, а сам сижу дома,еще и в контакте(((("
positive,на теперь это рулит=D
positive,Сумашедший тусняк ) ✌
negative,"ты дура,которая любит только себя"
neutral,Мужчина царь! Мужчина бог!Но все равно у женских ног...
neutral,Суббота начинается так...
neutral,Первая...но не последняя:)
positive,"Роооом, я хочу такуююю))))))"
positive,мама потихоньку изучает интернет. веселюсь=)))
negative,"как прийти в себя,если 40 минут пришлось слушать гуфа и прочую поеботу?"
negative,"Если по ту сторону экрана есть милые девушки, способные помять мужчине спину - очень болит поясница, спасите меня :("
negative,"Опять? Ну нееет только недавно выздоровила(( 
Короче я заболела, чувствую себя никак (( Столько планов, но я всеравно поеду в Радомышль в МОЦ и преодооею эти испытания!!!... Ну вообще не знаю как это будет происходить, но верю в Исцеление. 
П.с -  Поддержите в Молитве!!"
neutral,"Барса сможет.верю*готовься к провалу,малой;*"
neutral,Безнадёжно — это когда на крышку гроба падает земля. Остальное можно исправить.
positive,Хочу в зоопарк:)
neutral,"Забанили в Гугле

Обращаюсь за помощью к тем, кто сталкивался с подобной проблемой или хотя бы понимает, что вообще происходит. Нас забанили в Гугле и планируют в Яндексе. Периодически (можно читать - постоянно) выскакивают вот такие сообщения.
В общем, пишут, что мы посылаем слишком много запросов. Что это может быть и с чем связано?

P.S.: Антивирусом проверился. Всё чисто. Avast. Лицензионный."
positive,ах так тогда на аххаха))
negative,"Всяких ""понторезов"" и прочей нечисти вроде тех же Черных ястребов, и всяких ""кавказ сила"" под сраку пинать надо. Патриот Кавказа? Вали домой! 
А по поводу жизни порознь - я лично даже против диаспор и прочей хрени. Приехали и опять обособляются и остаются в своих кругах."
positive,а ж за душу взяло)))))
neutral,"Среди ублюдков шел артист,
В кожаном плаще, мертвый анархист.....(С)"
neutral,сижу пью шампанское в одну каску(( я алкоголик да??
positive,так нравится под нее дуть)))
negative,"Моя   душа на части рвется,
А  мои  дети  далеко…
И сердце  учащенно бьется,
А  мне  без  вас  так  нелегко…
Я  к  вам  хочу  прижаться  крепко,
Забыть  отчаянье  души…
Но сердце  бьется, словно в клетке!"
negative,"Грёбанные физкультурники, сссука.."
positive,Всем хорошего настроения!!!)))))))
negative,"TooNeeK
 Затевали укры драку ""Москоляку- на гиляку!"" И налево, и направо Шел трезвон ""Героям слава!"" И попер бронепоток Свой крушить Юго-Восток... Это кто там с белым флагом К нам бредет понурым шагом? Украинские вояки, Как побитые собаки, Жмутся, жалобно скуля, Под защиту ""москаля""!"
neutral,"Год назад, под события на манежке... год прошел, а ничего не изменилось, только поменялась направленность. Теперь это охватывает ВСЮ страну, и ВСЕ слои населения. Не будь деревом!"
neutral,"удивительно...почему многие воспринимают меня не той,кем я есть на самом деле,думают что я хуже и ждут подвоха каждую минуту?"
neutral,маленькая панда родила еще более маленькую панду - маленькие панды стремятся к нулю!   Мат анал убивает людей
neutral,"В детстве я молил Бога подарить мне велосипед. Потом понял, что Бог работает по-другому. Я украл велосипед и стал молиться о прощении.(c)"
neutral,а тут ты зачесываешь ирокез набок и притворяешься нормальным менеждером))) тока побриться не успел.
positive,"Женька......Сочувствую твоей правой руке...Поправляйся,и что бы скорее гипс сняли! А то....скучно без тебя! 
Давай-давай,быстро....ПОПРАВЛЯЙСЯ!! 😊  😊 
Бро,ты Лучшuй! )))"
neutral,Минздрав РФ пригрозил алкоголикам адской белочкой...
neutral,"Лови свои факты:
1;)Андрей
2:)Винокуров
3;) МЮГ
4;) 10 класс
5;)олимпиадник
6;)жоско умный
7;) докладчик
8;)призер многих конкурсов...соревнований
9;)арасивый...хд))
10;)вот и все))"
negative,"Общество пытается нас сделать удобным для себя. Все равны. Разные вещи не спасают. Потому что внутри одно и тоже. Та же пирамида. Слабые объеденились и стали сильнее сильных. Закомплексованные возвели свои страхи до силы закона, глупые пытаются вдалбливать свои мысли, как философские в головы. Мы так стараемся быть нормальными, что готовы ради этого не только стать серой массой, но и продать душу дьяволу....
И хихикаем довольные, что мы - сила, потому что нас ""багато""... Как на дне выгребной ямы говна.
Бойтесь. Мне это надоело."
positive,Ну вот и работе конец. Можно и RЕVO ебануть...
positive,"я красава, еба"
negative,"это пиздец, когда в отношениях два гордых человека."
negative,Что за блятство?! Слава верим!!
neutral,"""Зенит"" предлагает засчитать ""Динамо"" техническое поражение в остановленном матч..."
neutral,"Нет фразы ""не могу"", есть фраза ""я ленивая скотина""!"
negative,"Пиздец, она мне даже у VK не отписывает!!!!!!!!!!!!"
neutral,Вспомнила Девида Боуи)))))))))
negative,"почему у всех как у людей, а у меня по тупому?"
positive,"мда ужжж 😆 
Яга, Яшка, Ягуар... мой волшебный нектар, ёб та 😆"
neutral,скажите люди принадлежат друг другу или нет?
neutral,"А что Вы будете делать, если завтра наступит #зомби - #апокалипсис ?"
positive,"Дорогой, уважаемый тренер!
Мы готовы достигнуть высот,
Спортивных и выйти из тени,
Имея успех каждый год.

Кроме поздравок лучших,
Обещаем, что новый сезон,
Мы будем выше и круче,
К победе мчать как бизон!"
neutral,Битвы богов на арене крови и песка.
negative,"Появилась некая у меня убежденность, что все мои законченные работы, эссе, исследования и т.д. - полное дерьмо, на самом деле."
neutral,Мои ребятки.
neutral,А у нас первый снег :)
positive,"Подарю тебе на днюху соню с джетой, и будем с тобой срывать куши и рвать врагов)"
neutral,Это тебе для завтрашнего бодрствования)))))))*
positive,Подписали миллиардный контракт с Сбербанком России👍 теперь мы их официальное лицо 😂👍✌️👏
negative,я охуел...
neutral,не знаю таких людей)
neutral,Прогулки по парку Горького.[id13828655|Федор Догов][id40542234|Танюшка Маклакова]
positive,аее..мне дали визу в Америку_)
neutral,"аллергия на ваниль.не пью кофе,заедая его сигаретой и горьким шоколадом.не ломаю пальцы. не слушаю плейер на подоконнике в дождь. и глаза мои не цвета счастья.и в солярий не хожу.по клубам-тоже.не делаю duck face в обнимку с плюшевыми уродцами и в розовых трусах.не знаю слова ""лю."".ничего не наращено.и нет мальчика на пафосном авто.и зимой ношу шапку. Я ВООБЩЕ ДЕВУШКА!?:D"
neutral,какой самый большой бонус с артефактов с вильщика?
negative,Убей меня я наркоман 😭
positive,Алена Тихонова  ты моя нашка подружка
positive,"Расставаньям и потерям Я не верю,Я не верю...Я в ЛЮБОВЬ ЗЕМНУЮ верю и
 в бессмертие души!!!Я таким тебя узнала, О ТЕБЕ ВСЮ ЖИЗНЬ МЕЧТАЛА!!! И подругам всем сказала,то ты - ЛУЧШИЙ ИЗ МУЖЧИН!!!!!)))))"
neutral,Журналист ленты новостей...
neutral,"Одна голова - хорошо, а две - не красиво"
neutral,"Самый лучший опыт - это опыт через боль души. И чем больше тебе ранят душу или перемалывают твое нутро в фарш, тем больше ты понимаешь себя, тем ценнее то, что ты в себе находишь. В очередной раз умерев, как птица Феникс, ты возрождаешься снова и снова... и снова и снова пишешь свой опыт в музыке, отражая состояние души, чтобы не забывать..."
neutral,"Моя страна не упадет на колени.
Города станут горой и поверь мне.
Не помешает нам никто свободой напиться,
Пока в каждом из нас живет душа украинца."
neutral,Падёшь на кладбище-то?
neutral,#прощайзима
neutral,Че клоунов любим?)
positive,"Ты нужен мне. Такой, какой есть.
Косячник.
Непунктуальный.
Ревнивый.
Вспыльчивый.
Я тебя полюбила таким. Таким ты мне и нужен."
positive,"Трындец не то слово=)))
Вон у Дианки учись=)))у неё все песни классныее=))"
positive,"Скинь еще песен,ты еще хорошо поешь=)"
positive,"вот люблю математиков, честное слово"
neutral,и у меня такая есть!!!)))))
neutral,"Я должен кое-в-чем признаться - у меня зависимость. Не от наркотиков конечно, но не менее слабая - от нафтизина (и ему подобных спреев для носа). Раньше не придавал значения, постоянно с собой носил спрей, но оказалось, что я далеко не один такой. Есть целые сайты и сообщества для нафтизиназависимых, где люди делятся тем, кто и когда подсел на спрей как пытался бросить. А бросить очень сложно😁. Вот я сегодня понакупил себе разных лекарств в надежде слезть с этой нафтоиглы😕 @ Clifton, New Jersey"
negative,"У современных машин слабые ступичные шпильки, как-то на шиномонтаже две таких мне закрутили пистолетом так, что при откручивании они нафиг обломались. Кто сталкивался, знает. Решил, лучше переплачивать за качество и стал переобуваться в Fit Service. Сегодня выяснилось, что эти уроды зарезали мне три шпильки и все на одном колесе. Вот так и получается, что в каком-то закутке на Баррикад простой паршинка прямо на улице делает тебе все аккуратно, а в известном оборудованном сервисе рукожоп гробит тебе машину."
positive,"А мой братец не такой уж и жук, привез мне бутылку Martini. Не ожидала конечно, но все же приятно:*"
neutral,вытираю слезы))
neutral,сижу сейчас дома одна.и так хочется секса.эх...
negative,"Кофе - мой друг.
Сессия - мой страх.
Конспекты вокруг.
И ночью не спать.

Дорога в универ
доводит до слез.
Я же студент
И сессия всерьез...."
neutral,выздоравливай **
neutral,"Андрей Пургин: Часто мир страшнее войны 
"
neutral,"Необходимости лечь спать сейчас резко препятствуют 3 таблетки фенотропила. :( Я верю, что необходимость сильнее!"
positive,"9 месяцев  слез , поисков, надежд и  наш кот нашелся !!"
neutral,Американцы сравнивают Путина и Обаму
negative,Что-то на душе как то кисло...
negative,"""Я ЖИВ"" ""мне очень жаль"" ""и я справлюсь "" Терминатор блять ""восстание пидарасов""."
negative,НАМ ВСЕМ ПИЗДЕЦ!
positive,Классная песню помню давно искал
neutral,Женя ты дирижабль!
negative,"Роман, ты гандон! "
positive,"Лучшие и прекраснейшие вещи в мире нельзя увидеть, к ним нельзя даже прикоснуться. Их надо чувствовать сердцем.."
neutral,"Когда сестра дома - она меня бесит, когда нет - скучаю"
neutral,Новый трэк:)
neutral,Ну как после вчерашней встречи!!!
positive,"ахахах))))

Любовь - это когда у вас одна бритва на двоих"
neutral,"Вроде как о нежности, а на самом деле о МЯСЕ...."
neutral,у меня в голове никак не укладывается одно - завтра новый год
neutral,Новый видос! 
negative,"Все болезни от нервов, все нервы от мыслей, все мысли от того, что вам не пох..й, а зря."
neutral,Омерзительная четверка на практике
neutral,"Споткнулась сегодня, осознала что лечу...перекувыркнулась через голову, оп - я на земле)))"
neutral,"Хачу, ни хачу... Полетели !!!"
neutral,Ну вот не верю я в такие вещи!
positive,"В Твоих глазах таится радость,
Мечта о счастье и земной любви.
И сердцу моему ты романтическая сладость,
И о Тебе все тайные мои мечты.
Тебя люблю я, дорогая!
Любовь свою Тебе желаю я дарить.
И в голове несутся мысли стаей,
Любовь в Тебе желают пробудить.
Как птицы в небе мысли вьются,
Устремляясь к солнцу теплому, родному.
Все чувства для Тебя в слова непринужденно льются,
И сердце чувства наполняют кровью.
И с каждым днем мечта все крепнет,
Коснуться губ Твоих желанных.
И образ Твой стремление греет,
Тебя узреть в объятьях моих страстных."
neutral,"Покой, камин, книги, тишина... Прежде в этом видели одно мещанство. Теперь это мечты о потерянном рае.(Триумфальная арка)"
neutral,Я снова провёл глобальную чистку друзей......Ты ещё в друзьях? значит моё отношение к тебе больше чем нейтральное...;) Ты отсуствуешь в моих друзьях???увы........но мы просто слишком мало общались....без обид..ничего личного:)
positive,найди себя ахаах)
neutral,почему бы и нет.
negative,"В том месте на карте, где находится известный полуостров, нужно было написать ""Клятi москалi"", а это уже хуже чем банальное ""нелюди"" ;) Отстают авторы ;)"
negative,не осталось ни хрена часов!!!
neutral,Трахни нормальность(с)
positive,Скучаю по вам мои хорошие осень…
negative,Когда уже разгонят этих всех экстремистов ??
negative,"Ну и не дожидаясь экзит-поллов: с завтрашнего дня наша страна продолжит тонуть в болоте взяток, откатов, воровства и чиновничьего цинизма... Когда же мы выберемся из этой трясины... Через 6, через 12 лет?"
negative,"С детства и с возрастом люди не меняются... Маленькое дерьмо становится большим дерьмом, потом старым дерьмом."
neutral,"интересно, есть ли на этом чемпионате команда , которая в состоянии забить столько же сколько Дзагоев? надеюсь хоть завтра это произойдёт."
neutral,"Каждый получает от жизни то, что он заслуживает..."
negative,"И скучно и грустно, и некому руку подать
 В минуту душевной невзгоды...
 Желанья!.. что пользы напрасно и вечно желать?..
 А годы проходят — все лучшие годы! 

Любить... но кого же?.. на время — не стоит труда,
 А вечно любить невозможно.
 В себя ли заглянешь? — там прошлого нет и следа:
 И радость, и муки, и всё там ничтожно... 

Что страсти? — ведь рано иль поздно их сладкий недуг
 Исчезнет при слове рассудка;
 И жизнь, как посмотришь с холодным вниманьем вокруг — 
 Такая пустая и глупая шутка..."
negative,не пугай такими жёсткими видосами...
negative,маразм крепчал. глядишь и гитлера канонизируют:)
neutral,надо бы поменьше работать
positive,"Завтра едим гулять по полной, Викуська завтра как-то встретимся, отпразнуем этот фестиваль))) Кстати с нами может Алина поедит*)"
negative,"Арсенал,Арсенал...Ну как так? (("
neutral,подстриглась-покрасилась
positive,свободна ежедневно!!!!! яхууууууууу!!!!!!!! =))
neutral,"Может Димон заяву кинет о преступлениях: клвете, экстремизме,  жестоком обращении с животными... ну такое. )"
negative,"""Если любишь - отпусти"" - один неудачник сказал,а все остальные повторяют."
positive,ахаха ** да я забыла просто :D
neutral,А так же школота)
neutral,книги из детства)
negative,ну ты и дурак!
positive,"СОНЭЧКО ЛУЧЕЗАРНОЕ))) НЕ ГРУСТИ ТАМ НА РАБОТКЕ... Ты самое милое, красивое, доброе  создание на этой Земле."
positive,а я сегодня доброе дело сделал - подвёз автостопщика. )))
neutral,"У мужика должно хватать на всех всегда,наверняка!!!"
neutral,Ну вот и все)
neutral,легкая авария.
negative,"Это не я плохая.... ето
вы дохуя
правильные!!!"
neutral,настоящий Русский пацан не очкует писать: Все копы - ублюдки! Кто пишет на англ. боится)
negative,"Моя жизнь рушится, но этого никто не видит, потому что я человек воспитанный: я все время улыбаюсь (с) Бегбедер"
negative,как давно я такой была(...
neutral,ОДИН ЗА ВСЕХ ....
neutral,Поездка в Кронштадт.
neutral,"Как бы девушки не любили, всё
равно стараются понравится
другим."
positive,АХУЕВАЙ НАХЕР АЖ слушай до конца особенно припев
negative,"Выпавший снег оказался сюрпризом для коммунальщиков © 
Каждый год слышу эту шаблонную фразу и очень сильно с нее проигрываю. 
А вот придурков на летней резине хватает."
neutral,Друг важнее шлюх...
neutral,Счастливие бившим не пишут
negative,пизда завтра чорному!!!)
neutral,"Я не понял?? Где же коменты "" О боже мой, это лучшее что я слышал(а) в этой жизни, ты гений музыки"""
positive,УРААА!!!! Отсрочка до весны!!!!
negative,"Ну как так,судью, на мыло не защитал гол было бы 1:1"
negative,Контрольную плохо написал :В
positive,я всёравно тебе люблю несмотря на всё.
neutral,У меня есть сердце?!)))
neutral,кто на хар горе? чувствуете вонь?
neutral,воот я про эту на дискотеке говорила :)
negative,Значки на серых пиджаках. На лицах скука или страх...
neutral,"Вот она, блеять"
neutral,10 метров до автозака. день прожит не зря.
neutral,Наша мозайка (нервным не читать). |
negative,"Настоящие герои это те, кто жертвует своей жизнью ради жизни многих людей. А те, кто убивает безоружных людей, женщин и детей - это не герои, это позор Украины."
neutral,"никто не смог бы мне помочь с Паскалем и объяснить, что там и как?"
positive,Наконец-то! Слава Единому!
neutral,водокачка встречай нас)))
negative,Ребят вы лучшие Но немного нам не хватило=(
positive,"Любимая лизочка прости ,что так вышло что я так поздно поздравляю .ранче простр возможности не было .любимая я тебя безумно люблю и ты знаешь это . Я блогодарна твоей маме за то что Ты у меня есть !!!я тебя люблю сильно сильно .остольное ты услышь сейчас по телефону !"
negative,"Ваша жизнь — сплошное вранье, порнуха, бытовуха, интернет-зависимость и сотово-мобильное рабство. Ну разве я не прав? Вот скажите мне, вы когда-нибудь совершали что-нибудь по настоящему из ряда вон? Никогда. И не сможете.

Знаете почему? Потому что все это находится за пределами вашей зоны комфорта. Вы упакованы в нее. Как в полипропиленовый мешок. Вы куски мяса, зажатые рамками быта и работы. Или я не прав? Может, я ошибаюсь? Поправьте меня.

Например, можете подарить свой мобильник первому встречному? А? Вопрос на засыпку. Можете прямо сейчас отформатировать винт на вашем компьютере? Стремно? Обосрались? А знаете, почему вы этого не сделаете? Потому что это равноценно самоубийству. Вы без этого не существуете."
negative,"Никогда у меня не будет ""одного приложения для всего"". В топку эти ущербные универсальности."
neutral,"забыл телефон на работе, так что в выходные звонить мне бессмысленно. кому понадоблюсь - пишите здесь"
neutral,"Ты вино и я вино вместе мы с тобой вино
#СТАЗКАFACE"
positive,"«Твои» люди остаются с тобой, как бы ты ни ныл, каким бы ором ни орал, куда бы ни пропадал.Они просто есть, они рады тебе открыть дверь, протянуть руки, зделать бутерброд ... ахаххах*"
positive,Завтра - МАРТ!
neutral,конфета)))
negative,"Пиздец мне похуй на тебя!!! 
Любить тебя хуй буду я!
Меня ты классно наебал,
Унизил слова не сказал!
Ебу я в рот таких щенков,
Живи ты, блядь,
среди лохов!Найду я парня
Заебись, а ты с кем хочешь ,
С тем ебись !!!Ну ты мудак ,
пойми меня:Я -з а е б и с ь 
А ты- х у й н я !!!"
neutral,Уже завтра) #посвят2013 #АВТИ
neutral,А в ДД гуляет вся братва и не мешают мусора...
positive,Люблю Тебя!!!
neutral,"Станнис не прав.
Роковая ошибка"
negative,"Бесит, когда ты в России, а соискатели указывают уровень желаемой зарплаты в долларах."
neutral,"И что бы кто не говорил, но в 1941 году украинцы в основной своей массе восприняли немецкие войска как освободителей от рабства безбожных большевиков-атеистов, как освободителей от рабства колхозов и НКВД. Жители Украины встречали немцем цветами и хлебом-солью. Глупо отрицать этот факт."
neutral,осталось 11 часов!!!!!!!!
neutral,"Никогда не играйте в футбол с казахами, от них ноги пухнут в синеве."
neutral,"Я никогда не был идеальным
человеком, начиная от внешности и
заканчивая характером. Но зато я
всегда был собой."
neutral,"Очень и очень часто в интернете я натыкаюсь на тезис, что человек - деструктивный и ужасный монстр, в то время как остальные животные убивают только для пропитания и никогда не совершают насилия и убийств ради удовольствия, и поэтому лучше людей. Тому, что это утверждение неверно есть множество подтверждений, но люди этому не верят. Совершенно случайно я набрел на познавательное видео как раз для таких случаев.

P.S. Потом он его съел. И это далеко не единичный случай."
neutral,Опять плач ребенка. Из-за стены. Но у моих соседей нет детей!
negative,"Я ничего не мог сделать, да и не хотел. Внутри всё горело - что я сделал не так? В чём именно я виноват? Я не мог понять. Я не находил себе места. Везде были новогодние украшения, и на лицах людей я видел лишь счастье и радость .Поневоле ёжился в самом себе и пытался понять - почему я один такой урод, который потерял в этом году всё что дорого? Знаете, что? Я уже ничего не жду. Веры нет - надежда осталась. Я не сделал ничего. Заберите меня отсюда."
neutral,"решил побаловаться, пока подруга была на работе)))))))"
neutral,И что никто не приютит меня?(
neutral,"Ох уж эти выматывающие отпуска! Можно сразу брать больничный. 
А в Кемере прекрасно. [id53184327|Яна] подтвердит."
positive,из старой тематики мне эта нрав.)
negative,"статус у 10летней девочки:
всё, что захочу - я получу, а кого хотела, я уже имела
ХУЯСЕ ТЫ ДЕРЗКАЯ"
neutral,"Я в паблике Зизза)) 
 ))
53 000 подписчиков)) "
neutral,"у одного из моих друзей есть стихотворение, смысл - возвращается кто угодно, но не тот, кто уходил. все меняется, все проходит"
negative,Лол)) вы ж меня во всех своих петушинных группах забанили
negative,"ХАХА,динамо ЛОХИ!!"
neutral,"Интересно, это к хорошей погоде?"
positive,Ура!!! микро блог в прошлом
positive,"Как бы ни была серьёзна жизнь, всегда необходим человек, с которым можно подурачиться.😜❤😘"
negative,"Не любви, не тоски, не жалости........"
neutral,"...Два пути ...вставай и продолжай идти ... это твоя жизнь ,а не кого то ... сам думай как... проживешь ее .....S.K.L"
neutral,"Это уже слишком. Благодаря Ленину и появился СССР, хоть люди нормально пожили."
positive,"Цивилизация добралась и сюда, уже завтра смогу посмотреть ""Марсианин"" в 4dx, наконец 😃😎"
neutral,"""Мы больше никому не будем пытаться понравиться, - заявил теперь белорусский президент. - Мы делали это, чтобы было проще и лучше нормализовать отношения с Европейским союзом, американцами. Они поставили перед нами условия, и мы их свято выполняли. За что нас, видимо, правильно критиковали – нечего прогибаться под них. Все равно от этого ничего не получишь. И я в очередной раз в этом почти убедился""."
neutral,у всех изчезли видео записи (вк) !!!!!
positive,я влюблена но нескажу в каго и он мне нравится.
negative,"ВСЕ ЛЮДИ ЛГУТ,НО ЭТО НЕ СТРАШНО,ВЕДЬ ИТАК НИКТО ДРУГ ДРУГА НЕ СЛУШАЕТ! А.Энштейн"
neutral,Надежда — опасная штука. Надежда может свести человека с ума.
positive,"Лол, у друга не разлогинился и хентайчик, я ржу:D"
negative,Сегодня в аварию попал. Вся жизнь перед глазами пролетела :D
positive,я люблю молоко)))))
neutral,Эхо Москвы / Блоги / EchoMSK:  Андрей Кончаловский: Куда мы катимся?
negative,"Я не обижаюсь на людей.Я просто меняю своё мнение о них.Можно вытащить человека из дерьма,но нельзя дерьмо вытащить с человека..."
neutral,а это был я...только почемуто видео в ускоренном виде..
neutral,хули делать толик
neutral,Хватит жрать и так бык!
neutral,Городские власти не пошли навстречу мотоциклистам (ВИДЕО)
positive,Месяц со своей зайкой! Люблю*
neutral,"Не пропустите свои лучшие годы в жизни, бегая за кем-то или доказывая кому-то что-то. Делайте все исключительно ради себя, своей семьи и близких вам людей. Остальные не стоят вашего внимания и времени."
neutral,им реально не понять=)
positive,эстония непобедима!!
